Year_Built,Heating_QC,Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Garage_Cars,Pool_QC,Sale_Price,transformed_price
1960,Fair,1,3,7,2,No_Pool,215000,12.27839331
1961,Typical,1,2,5,1,No_Pool,105000,11.56171563
1958,Typical,1,3,6,1,No_Pool,172000,12.05524976
1968,Excellent,2,3,8,2,No_Pool,244000,12.4049235
1997,Good,2,3,6,2,No_Pool,189900,12.1542529
1998,Excellent,2,3,7,2,No_Pool,195500,12.18331566
2001,Excellent,2,2,6,2,No_Pool,213500,12.27139211
1992,Excellent,2,2,5,2,No_Pool,191500,12.16264309
1995,Excellent,2,2,5,2,No_Pool,236500,12.37370349
1999,Good,2,3,7,2,No_Pool,189000,12.14950229
1993,Good,2,3,7,2,No_Pool,175900,12.07767093
1992,Excellent,2,3,6,2,No_Pool,185000,12.1281111
1998,Good,2,3,7,2,No_Pool,180400,12.10293189
1990,Good,1,2,5,2,No_Pool,171500,12.05233855
1985,Typical,1,1,4,2,No_Pool,212000,12.26434155
2003,Excellent,3,4,12,3,No_Pool,538000,13.19561384
1988,Good,2,4,8,2,No_Pool,164000,12.00762171
2010,Excellent,1,1,8,3,No_Pool,394432,12.88520203
1951,Excellent,1,2,4,2,No_Pool,141000,11.85651517
1978,Typical,2,3,7,2,No_Pool,210000,12.25486281
1977,Excellent,2,3,7,2,No_Pool,190000,12.15477935
1974,Typical,2,3,6,2,No_Pool,170000,12.04355372
2000,Excellent,2,3,7,2,No_Pool,216000,12.28303369
1970,Excellent,1,2,5,2,No_Pool,149000,11.91170158
1971,Excellent,1,3,6,2,No_Pool,149900,11.91772368
1968,Excellent,1,3,6,1,No_Pool,142000,11.86358234
1970,Typical,1,2,4,2,No_Pool,126000,11.74403719
1971,Typical,1,3,5,0,No_Pool,115000,11.65268741
1999,Excellent,2,2,5,2,No_Pool,184000,12.12269104
1971,Typical,1,2,5,1,No_Pool,96000,11.47210347
1971,Typical,1,3,6,1,No_Pool,105500,11.56646623
1971,Typical,1,3,6,1,No_Pool,88000,11.38509209
1977,Typical,2,2,4,2,No_Pool,127500,11.75587164
1975,Typical,2,3,6,2,No_Pool,149900,11.91772368
1975,Excellent,1,2,4,1,No_Pool,120000,11.69524702
1978,Fair,2,3,7,2,No_Pool,146000,11.8913619
2009,Excellent,2,3,10,3,No_Pool,376162,12.83777518
